SectorCode,Sector,Region,regioncode,kpi,year,value
E,"Water supply; sewerage, waste management and remediation activities",Ash Shargiyah,ASH,Workforce,2018,0.0
F,Construction,Ash Shargiyah,ASH,Workforce,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ash Shargiyah,ASH,Workforce,2018,0.0
H,Transportation and storage,Ash Shargiyah,ASH,Workforce,2018,0.0
I,Accommodation and food service activities,Ash Shargiyah,ASH,Workforce,2018,0.0
J,Information and Communication,Ash Shargiyah,ASH,Workforce,2018,0.0
K,Financial and insurance activities,Ash Shargiyah,ASH,Workforce,2018,0.0
L,Real estate activities,Ash Shargiyah,ASH,Workforce,2018,0.0
M,"Professional, scientific and technical activities",Ash Shargiyah,ASH,Workforce,2018,0.0
N,Administrative and support service activities,Ash Shargiyah,ASH,Workforce,2018,0.0
O,Public administration and defense; compulsory social security,Ash Shargiyah,ASH,Workforce,2018,0.0
P,Education,Ash Shargiyah,ASH,Workforce,2018,0.0
Q,Human health and social work activities,Ash Shargiyah,ASH,Workforce,2018,0.0
R,"Arts, entertainment and recreation",Ash Shargiyah,ASH,Workforce,2018,0.0
S,Other service activities,Ash Shargiyah,ASH,Workforce,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Ash Shargiyah,ASH,Workforce,2018,0.0
U,Activities of extraterritorial organizations and bodies,Ash Shargiyah,ASH,Workforce,2018,0.0
V,Undefined,Ash Shargiyah,ASH,Workforce,2018,0.0
A,"Agriculture, forestry and fishing",Ash Shargiyah,ASH,Investments,2018,126.80500423344355
B,Mining and Quarrying,Ash Shargiyah,ASH,Investments,2018,3209.972524557976
C,Manufacturing,Ash Shargiyah,ASH,Investments,2018,26823.196022767876
D,"Electricity, gas, steam and air conditioning supplies",Ash Shargiyah,ASH,Investments,2018,2616.9152688060517
E,"Water supply; sewerage, waste management and remediation activities",Ash Shargiyah,ASH,Investments,2018,1522.2312018136502
F,Construction,Ash Shargiyah,ASH,Investments,2018,8574.487175354554
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Ash Shargiyah,ASH,Investments,2018,12111.364740013272
H,Transportation and Storage,Ash Shargiyah,ASH,Investments,2018,2116.183765682465
I,Accommodation and food services activities,Ash Shargiyah,ASH,Investments,2018,2081.219989387664
J,Information and Communication,Ash Shargiyah,ASH,Investments,2018,2414.197729820228
K,Financial and Insurance Activities,Ash Shargiyah,ASH,Investments,2018,10562.637310536371
L,Real Estate Activities,Ash Shargiyah,ASH,Investments,2018,8919.983646121987
M,"Professional, Scientific and Technical Activities",Ash Shargiyah,ASH,Investments,2018,2609.4370718172595
N,Administrative and Support Service Activities,Ash Shargiyah,ASH,Investments,2018,2737.734972886091
O,"Public administration, defense and compulsory social security",Ash Shargiyah,ASH,Investments,2018,2.734000300689555
P,Education,Ash Shargiyah,ASH,Investments,2018,211.75747149346532
Q,Human Health and Social Work Activities,Ash Shargiyah,ASH,Investments,2018,548.9769217106132
R,"Arts, entertainment and recreation",Ash Shargiyah,ASH,Investments,2018,56.409496174393745
S,Other service activities,Ash Shargiyah,ASH,Investments,2018,70.4808497662376
A,"Agriculture, forestry and fishing",'Asir,ASI,GDP,2018,0.0
B,Mining and quarrying,'Asir,ASI,GDP,2018,0.0
C,Manufacturing,'Asir,ASI,GDP,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",'Asir,ASI,GDP,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",'Asir,ASI,GDP,2018,0.0
F,Construction,'Asir,ASI,GDP,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,'Asir,ASI,GDP,2018,0.0
H,Transportation and storage,'Asir,ASI,GDP,2018,0.0
I,Accommodation and food service activities,'Asir,ASI,GDP,2018,0.0
J,Information and communication,'Asir,ASI,GDP,2018,0.0
K,Financial and insurance activities,'Asir,ASI,GDP,2018,0.0
L,Real estate activities,'Asir,ASI,GDP,2018,0.0
M,"Professional, scientific and technical activities",'Asir,ASI,GDP,2018,0.0
N,Administrative and support service activities,'Asir,ASI,GDP,2018,0.0
O,Public administration and defense; compulsory social security,'Asir,ASI,GDP,2018,0.0
P,Education,'Asir,ASI,GDP,2018,0.0
Q,Human health and social work activities,'Asir,ASI,GDP,2018,0.0
R,"Arts, entertainment and recreation",'Asir,ASI,GDP,2018,0.0
S,Other service activities,'Asir,ASI,GDP,2018,0.0
T,Activities of households,'Asir,ASI,GDP,2018,0.0
A,"Agriculture, Forestry and Fishing",'Asir,ASI,Productivity,2018,0.0
B,Mining and quarrying,'Asir,ASI,Productivity,2018,0.0
C,Manufacturing,'Asir,ASI,Productivity,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",'Asir,ASI,Productivity,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",'Asir,ASI,Productivity,2018,0.0
F,Construction,'Asir,ASI,Productivity,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,'Asir,ASI,Productivity,2018,0.0
H,Transportation and storage,'Asir,ASI,Productivity,2018,0.0
I,Accommodation and food service activities,'Asir,ASI,Productivity,2018,0.0
J,Information and Communication,'Asir,ASI,Productivity,2018,0.0
K,Financial and insurance activities,'Asir,ASI,Productivity,2018,0.0
L,Real estate activities,'Asir,ASI,Productivity,2018,0.0
M,"Professional, scientific and technical activities",'Asir,ASI,Productivity,2018,0.0
N,Administrative and support service activities,'Asir,ASI,Productivity,2018,0.0
O,Public administration and defense; compulsory social security,'Asir,ASI,Productivity,2018,0.0
P,Education,'Asir,ASI,Productivity,2018,0.0
Q,Human health and social work activities,'Asir,ASI,Productivity,2018,0.0
R,"Arts, entertainment and recreation",'Asir,ASI,Productivity,2018,0.0
S,Other service activities,'Asir,ASI,Productivity,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,'Asir,ASI,Productivity,2018,0.0
U,Activities of extraterritorial organizations and bodies,'Asir,ASI,Productivity,2018,0.0
V,Undefined,'Asir,ASI,Productivity,2018,0.0
A,"Agriculture, Forestry and Fishing",'Asir,ASI,Workforce,2018,0.0
B,Mining and quarrying,'Asir,ASI,Workforce,2018,0.0
C,Manufacturing,'Asir,ASI,Workforce,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",'Asir,ASI,Workforce,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",'Asir,ASI,Workforce,2018,0.0
F,Construction,'Asir,ASI,Workforce,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,'Asir,ASI,Workforce,2018,0.0
H,Transportation and storage,'Asir,ASI,Workforce,2018,0.0
I,Accommodation and food service activities,'Asir,ASI,Workforce,2018,0.0
J,Information and Communication,'Asir,ASI,Workforce,2018,0.0
K,Financial and insurance activities,'Asir,ASI,Workforce,2018,0.0
L,Real estate activities,'Asir,ASI,Workforce,2018,0.0
M,"Professional, scientific and technical activities",'Asir,ASI,Workforce,2018,0.0
N,Administrative and support service activities,'Asir,ASI,Workforce,2018,0.0
O,Public administration and defense; compulsory social security,'Asir,ASI,Workforce,2018,0.0
P,Education,'Asir,ASI,Workforce,2018,0.0
Q,Human health and social work activities,'Asir,ASI,Workforce,2018,0.0
R,"Arts, entertainment and recreation",'Asir,ASI,Workforce,2018,0.0
S,Other service activities,'Asir,ASI,Workforce,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,'Asir,ASI,Workforce,2018,0.0
U,Activities of extraterritorial organizations and bodies,'Asir,ASI,Workforce,2018,0.0
V,Undefined,'Asir,ASI,Workforce,2018,0.0
A,"Agriculture, forestry and fishing",'Asir,ASI,Investments,2018,54.52791790679067
B,Mining and Quarrying,'Asir,ASI,Investments,2018,1380.3328926981546
C,Manufacturing,'Asir,ASI,Investments,2018,11534.347871907496
D,"Electricity, gas, steam and air conditioning supplies",'Asir,ASI,Investments,2018,1125.3100128744686
E,"Water supply; sewerage, waste management and remediation activities",'Asir,ASI,Investments,2018,654.5806177715383
F,Construction,'Asir,ASI,Investments,2018,3687.1489072294125
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,'Asir,ASI,Investments,2018,5208.055520165874
H,Transportation and Storage,'Asir,ASI,Investments,2018,909.9884925549597
I,Accommodation and food services activities,'Asir,ASI,Investments,2018,894.9535817875227
J,Information and Communication,'Asir,ASI,Investments,2018,1038.1386477465117
K,Financial and Insurance Activities,'Asir,ASI,Investments,2018,4542.081155470898
L,Real Estate Activities,'Asir,ASI,Investments,2018,3835.717201587972
M,"Professional, Scientific and Technical Activities",'Asir,ASI,Investments,2018,1122.0942840161265
N,Administrative and Support Service Activities,'Asir,ASI,Investments,2018,1177.2641683545692
O,"Public administration, defense and compulsory social security",'Asir,ASI,Investments,2018,1.1756582072951256
P,Education,'Asir,ASI,Investments,2018,91.0586620105953
Q,Human Health and Social Work Activities,'Asir,ASI,Investments,2018,236.06772225369335
R,"Arts, entertainment and recreation",'Asir,ASI,Investments,2018,24.256869002568344
S,Other service activities,'Asir,ASI,Investments,2018,30.307747026916235
A,"Agriculture, forestry and fishing",Ha'il,HAI,GDP,2018,0.0
B,Mining and quarrying,Ha'il,HAI,GDP,2018,0.0
C,Manufacturing,Ha'il,HAI,GDP,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Ha'il,HAI,GDP,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Ha'il,HAI,GDP,2018,0.0
F,Construction,Ha'il,HAI,GDP,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ha'il,HAI,GDP,2018,0.0
H,Transportation and storage,Ha'il,HAI,GDP,2018,0.0
I,Accommodation and food service activities,Ha'il,HAI,GDP,2018,0.0
J,Information and communication,Ha'il,HAI,GDP,2018,0.0
K,Financial and insurance activities,Ha'il,HAI,GDP,2018,0.0
L,Real estate activities,Ha'il,HAI,GDP,2018,0.0
M,"Professional, scientific and technical activities",Ha'il,HAI,GDP,2018,0.0
N,Administrative and support service activities,Ha'il,HAI,GDP,2018,0.0
O,Public administration and defense; compulsory social security,Ha'il,HAI,GDP,2018,0.0
P,Education,Ha'il,HAI,GDP,2018,0.0
Q,Human health and social work activities,Ha'il,HAI,GDP,2018,0.0
R,"Arts, entertainment and recreation",Ha'il,HAI,GDP,2018,0.0
S,Other service activities,Ha'il,HAI,GDP,2018,0.0
T,Activities of households,Ha'il,HAI,GDP,2018,0.0
A,"Agriculture, Forestry and Fishing",Ha'il,HAI,Productivity,2018,0.0
B,Mining and quarrying,Ha'il,HAI,Productivity,2018,0.0
C,Manufacturing,Ha'il,HAI,Productivity,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Ha'il,HAI,Productivity,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Ha'il,HAI,Productivity,2018,0.0
F,Construction,Ha'il,HAI,Productivity,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ha'il,HAI,Productivity,2018,0.0
H,Transportation and storage,Ha'il,HAI,Productivity,2018,0.0
I,Accommodation and food service activities,Ha'il,HAI,Productivity,2018,0.0
J,Information and Communication,Ha'il,HAI,Productivity,2018,0.0
K,Financial and insurance activities,Ha'il,HAI,Productivity,2018,0.0
L,Real estate activities,Ha'il,HAI,Productivity,2018,0.0
M,"Professional, scientific and technical activities",Ha'il,HAI,Productivity,2018,0.0
N,Administrative and support service activities,Ha'il,HAI,Productivity,2018,0.0
O,Public administration and defense; compulsory social security,Ha'il,HAI,Productivity,2018,0.0
P,Education,Ha'il,HAI,Productivity,2018,0.0
Q,Human health and social work activities,Ha'il,HAI,Productivity,2018,0.0
R,"Arts, entertainment and recreation",Ha'il,HAI,Productivity,2018,0.0
S,Other service activities,Ha'il,HAI,Productivity,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Ha'il,HAI,Productivity,2018,0.0
U,Activities of extraterritorial organizations and bodies,Ha'il,HAI,Productivity,2018,0.0
V,Undefined,Ha'il,HAI,Productivity,2018,0.0
A,"Agriculture, Forestry and Fishing",Ha'il,HAI,Workforce,2018,0.0
B,Mining and quarrying,Ha'il,HAI,Workforce,2018,0.0
C,Manufacturing,Ha'il,HAI,Workforce,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Ha'il,HAI,Workforce,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Ha'il,HAI,Workforce,2018,0.0
F,Construction,Ha'il,HAI,Workforce,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ha'il,HAI,Workforce,2018,0.0
H,Transportation and storage,Ha'il,HAI,Workforce,2018,0.0
I,Accommodation and food service activities,Ha'il,HAI,Workforce,2018,0.0
J,Information and Communication,Ha'il,HAI,Workforce,2018,0.0
K,Financial and insurance activities,Ha'il,HAI,Workforce,2018,0.0
L,Real estate activities,Ha'il,HAI,Workforce,2018,0.0
M,"Professional, scientific and technical activities",Ha'il,HAI,Workforce,2018,0.0
N,Administrative and support service activities,Ha'il,HAI,Workforce,2018,0.0
O,Public administration and defense; compulsory social security,Ha'il,HAI,Workforce,2018,0.0
P,Education,Ha'il,HAI,Workforce,2018,0.0
Q,Human health and social work activities,Ha'il,HAI,Workforce,2018,0.0
R,"Arts, entertainment and recreation",Ha'il,HAI,Workforce,2018,0.0
S,Other service activities,Ha'il,HAI,Workforce,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Ha'il,HAI,Workforce,2018,0.0
U,Activities of extraterritorial organizations and bodies,Ha'il,HAI,Workforce,2018,0.0
V,Undefined,Ha'il,HAI,Workforce,2018,0.0
A,"Agriculture, forestry and fishing",Ha'il,HAI,Investments,2018,22.385145245945644
B,Mining and Quarrying,Ha'il,HAI,Investments,2018,566.6629770024005
C,Manufacturing,Ha'il,HAI,Investments,2018,4735.153336888341
D,"Electricity, gas, steam and air conditioning supplies",Ha'il,HAI,Investments,2018,461.9693737063608
E,"Water supply; sewerage, waste management and remediation activities",Ha'il,HAI,Investments,2018,268.72256940094735
F,Construction,Ha'il,HAI,Investments,2018,1513.6716566520747
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Ha'il,HAI,Investments,2018,2138.043845120728
H,Transportation and Storage,Ha'il,HAI,Investments,2018,373.57422325940456
I,Accommodation and food services activities,Ha'il,HAI,Investments,2018,367.4019967338251
J,Information and Communication,Ha'il,HAI,Investments,2018,426.18323433804164
K,Financial and Insurance Activities,Ha'il,HAI,Investments,2018,1864.6438427722635
L,Real Estate Activities,Ha'il,HAI,Investments,2018,1574.6628511782203
M,"Professional, Scientific and Technical Activities",Ha'il,HAI,Investments,2018,460.6492323855677
N,Administrative and Support Service Activities,Ha'il,HAI,Investments,2018,483.29792174556
O,"Public administration, defense and compulsory social security",Ha'il,HAI,Investments,2018,0.48263863246852523
P,Education,Ha'il,HAI,Investments,2018,37.3819770359286
Q,Human Health and Social Work Activities,Ha'il,HAI,Investments,2018,96.91201229362149
R,"Arts, entertainment and recreation",Ha'il,HAI,Investments,2018,9.958083064212268
S,Other service activities,Ha'il,HAI,Investments,2018,12.442127726839297
A,"Agriculture, forestry and fishing",Jazan,JAZ,GDP,2018,0.0
B,Mining and quarrying,Jazan,JAZ,GDP,2018,0.0
C,Manufacturing,Jazan,JAZ,GDP,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Jazan,JAZ,GDP,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Jazan,JAZ,GDP,2018,0.0
F,Construction,Jazan,JAZ,GDP,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Jazan,JAZ,GDP,2018,0.0
H,Transportation and storage,Jazan,JAZ,GDP,2018,0.0
I,Accommodation and food service activities,Jazan,JAZ,GDP,2018,0.0
J,Information and communication,Jazan,JAZ,GDP,2018,0.0
K,Financial and insurance activities,Jazan,JAZ,GDP,2018,0.0
L,Real estate activities,Jazan,JAZ,GDP,2018,0.0
M,"Professional, scientific and technical activities",Jazan,JAZ,GDP,2018,0.0
N,Administrative and support service activities,Jazan,JAZ,GDP,2018,0.0
O,Public administration and defense; compulsory social security,Jazan,JAZ,GDP,2018,0.0
P,Education,Jazan,JAZ,GDP,2018,0.0
Q,Human health and social work activities,Jazan,JAZ,GDP,2018,0.0
R,"Arts, entertainment and recreation",Jazan,JAZ,GDP,2018,0.0
S,Other service activities,Jazan,JAZ,GDP,2018,0.0
T,Activities of households,Jazan,JAZ,GDP,2018,0.0
A,"Agriculture, Forestry and Fishing",Jazan,JAZ,Productivity,2018,0.0
B,Mining and quarrying,Jazan,JAZ,Productivity,2018,0.0
C,Manufacturing,Jazan,JAZ,Productivity,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Jazan,JAZ,Productivity,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Jazan,JAZ,Productivity,2018,0.0
F,Construction,Jazan,JAZ,Productivity,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Jazan,JAZ,Productivity,2018,0.0
H,Transportation and storage,Jazan,JAZ,Productivity,2018,0.0
I,Accommodation and food service activities,Jazan,JAZ,Productivity,2018,0.0
J,Information and Communication,Jazan,JAZ,Productivity,2018,0.0
K,Financial and insurance activities,Jazan,JAZ,Productivity,2018,0.0
L,Real estate activities,Jazan,JAZ,Productivity,2018,0.0
M,"Professional, scientific and technical activities",Jazan,JAZ,Productivity,2018,0.0
N,Administrative and support service activities,Jazan,JAZ,Productivity,2018,0.0
O,Public administration and defense; compulsory social security,Jazan,JAZ,Productivity,2018,0.0
P,Education,Jazan,JAZ,Productivity,2018,0.0
Q,Human health and social work activities,Jazan,JAZ,Productivity,2018,0.0
R,"Arts, entertainment and recreation",Jazan,JAZ,Productivity,2018,0.0
S,Other service activities,Jazan,JAZ,Productivity,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Jazan,JAZ,Productivity,2018,0.0
U,Activities of extraterritorial organizations and bodies,Jazan,JAZ,Productivity,2018,0.0
V,Undefined,Jazan,JAZ,Productivity,2018,0.0
A,"Agriculture, Forestry and Fishing",Jazan,JAZ,Workforce,2018,0.0
B,Mining and quarrying,Jazan,JAZ,Workforce,2018,0.0
C,Manufacturing,Jazan,JAZ,Workforce,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Jazan,JAZ,Workforce,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Jazan,JAZ,Workforce,2018,0.0
F,Construction,Jazan,JAZ,Workforce,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Jazan,JAZ,Workforce,2018,0.0
H,Transportation and storage,Jazan,JAZ,Workforce,2018,0.0
I,Accommodation and food service activities,Jazan,JAZ,Workforce,2018,0.0
J,Information and Communication,Jazan,JAZ,Workforce,2018,0.0
K,Financial and insurance activities,Jazan,JAZ,Workforce,2018,0.0
L,Real estate activities,Jazan,JAZ,Workforce,2018,0.0
M,"Professional, scientific and technical activities",Jazan,JAZ,Workforce,2018,0.0
N,Administrative and support service activities,Jazan,JAZ,Workforce,2018,0.0
O,Public administration and defense; compulsory social security,Jazan,JAZ,Workforce,2018,0.0
P,Education,Jazan,JAZ,Workforce,2018,0.0
Q,Human health and social work activities,Jazan,JAZ,Workforce,2018,0.0
R,"Arts, entertainment and recreation",Jazan,JAZ,Workforce,2018,0.0
S,Other service activities,Jazan,JAZ,Workforce,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Jazan,JAZ,Workforce,2018,0.0
U,Activities of extraterritorial organizations and bodies,Jazan,JAZ,Workforce,2018,0.0
V,Undefined,Jazan,JAZ,Workforce,2018,0.0
A,"Agriculture, forestry and fishing",Jazan,JAZ,Investments,2018,38.45653157636816
B,Mining and Quarrying,Jazan,JAZ,Investments,2018,973.4979348502775
C,Manufacturing,Jazan,JAZ,Investments,2018,8134.750604397918
D,"Electricity, gas, steam and air conditioning supplies",Jazan,JAZ,Investments,2018,793.6396932904145
E,"Water supply; sewerage, waste management and remediation activities",Jazan,JAZ,Investments,2018,461.65159358624277
F,Construction,Jazan,JAZ,Investments,2018,2600.410281940744
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Jazan,JAZ,Investments,2018,3673.0496826433005
H,Transportation and Storage,Jazan,JAZ,Investments,2018,641.7813579071822
I,Accommodation and food services activities,Jazan,JAZ,Investments,2018,631.1777892606738
J,Information and Communication,Jazan,JAZ,Investments,2018,732.1609410422765
K,Financial and Insurance Activities,Jazan,JAZ,Investments,2018,3203.3624991215806
L,Real Estate Activities,Jazan,JAZ,Investments,2018,2705.190026383096
M,"Professional, Scientific and Technical Activities",Jazan,JAZ,Investments,2018,791.371758200847
N,Administrative and Support Service Activities,Jazan,JAZ,Investments,2018,830.2810450500646
O,"Public administration, defense and compulsory social security",Jazan,JAZ,Investments,2018,0.8291484198818253
P,Education,Jazan,JAZ,Investments,2018,64.22031952326195
Q,Human Health and Social Work Activities,Jazan,JAZ,Investments,2018,166.4898672736574
R,"Arts, entertainment and recreation",Jazan,JAZ,Investments,2018,17.107476033390302
S,Other service activities,Jazan,JAZ,Investments,2018,21.374937376877767
A,"Agriculture, forestry and fishing",Makkah al Mukarramah,MAK,GDP,2018,0.0
B,Mining and quarrying,Makkah al Mukarramah,MAK,GDP,2018,0.0
C,Manufacturing,Makkah al Mukarramah,MAK,GDP,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Makkah al Mukarramah,MAK,GDP,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Makkah al Mukarramah,MAK,GDP,2018,0.0
F,Construction,Makkah al Mukarramah,MAK,GDP,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Makkah al Mukarramah,MAK,GDP,2018,0.0
H,Transportation and storage,Makkah al Mukarramah,MAK,GDP,2018,0.0
I,Accommodation and food service activities,Makkah al Mukarramah,MAK,GDP,2018,0.0
J,Information and communication,Makkah al Mukarramah,MAK,GDP,2018,0.0
K,Financial and insurance activities,Makkah al Mukarramah,MAK,GDP,2018,0.0
L,Real estate activities,Makkah al Mukarramah,MAK,GDP,2018,0.0
M,"Professional, scientific and technical activities",Makkah al Mukarramah,MAK,GDP,2018,0.0
N,Administrative and support service activities,Makkah al Mukarramah,MAK,GDP,2018,0.0
O,Public administration and defense; compulsory social security,Makkah al Mukarramah,MAK,GDP,2018,0.0
P,Education,Makkah al Mukarramah,MAK,GDP,2018,0.0
Q,Human health and social work activities,Makkah al Mukarramah,MAK,GDP,2018,0.0
R,"Arts, entertainment and recreation",Makkah al Mukarramah,MAK,GDP,2018,0.0
S,Other service activities,Makkah al Mukarramah,MAK,GDP,2018,0.0
T,Activities of households,Makkah al Mukarramah,MAK,GDP,2018,0.0
A,"Agriculture, Forestry and Fishing",Makkah al Mukarramah,MAK,Productivity,2018,0.0
B,Mining and quarrying,Makkah al Mukarramah,MAK,Productivity,2018,0.0
C,Manufacturing,Makkah al Mukarramah,MAK,Productivity,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Makkah al Mukarramah,MAK,Productivity,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Makkah al Mukarramah,MAK,Productivity,2018,0.0
F,Construction,Makkah al Mukarramah,MAK,Productivity,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Makkah al Mukarramah,MAK,Productivity,2018,0.0
H,Transportation and storage,Makkah al Mukarramah,MAK,Productivity,2018,0.0
I,Accommodation and food service activities,Makkah al Mukarramah,MAK,Productivity,2018,0.0
J,Information and Communication,Makkah al Mukarramah,MAK,Productivity,2018,0.0
K,Financial and insurance activities,Makkah al Mukarramah,MAK,Productivity,2018,0.0
L,Real estate activities,Makkah al Mukarramah,MAK,Productivity,2018,0.0
M,"Professional, scientific and technical activities",Makkah al Mukarramah,MAK,Productivity,2018,0.0
N,Administrative and support service activities,Makkah al Mukarramah,MAK,Productivity,2018,0.0
O,Public administration and defense; compulsory social security,Makkah al Mukarramah,MAK,Productivity,2018,0.0
P,Education,Makkah al Mukarramah,MAK,Productivity,2018,0.0
Q,Human health and social work activities,Makkah al Mukarramah,MAK,Productivity,2018,0.0
R,"Arts, entertainment and recreation",Makkah al Mukarramah,MAK,Productivity,2018,0.0
S,Other service activities,Makkah al Mukarramah,MAK,Productivity,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Makkah al Mukarramah,MAK,Productivity,2018,0.0
U,Activities of extraterritorial organizations and bodies,Makkah al Mukarramah,MAK,Productivity,2018,0.0
V,Undefined,Makkah al Mukarramah,MAK,Productivity,2018,0.0
A,"Agriculture, Forestry and Fishing",Makkah al Mukarramah,MAK,Workforce,2018,0.0
B,Mining and quarrying,Makkah al Mukarramah,MAK,Workforce,2018,0.0
C,Manufacturing,Makkah al Mukarramah,MAK,Workforce,2018,0.0
D,"Electricity, gas, steam and air conditioning supply",Makkah al Mukarramah,MAK,Workforce,2018,0.0
E,"Water supply; sewerage, waste management and remediation activities",Makkah al Mukarramah,MAK,Workforce,2018,0.0
F,Construction,Makkah al Mukarramah,MAK,Workforce,2018,0.0
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Makkah al Mukarramah,MAK,Workforce,2018,0.0
H,Transportation and storage,Makkah al Mukarramah,MAK,Workforce,2018,0.0
I,Accommodation and food service activities,Makkah al Mukarramah,MAK,Workforce,2018,0.0
J,Information and Communication,Makkah al Mukarramah,MAK,Workforce,2018,0.0
K,Financial and insurance activities,Makkah al Mukarramah,MAK,Workforce,2018,0.0
L,Real estate activities,Makkah al Mukarramah,MAK,Workforce,2018,0.0
M,"Professional, scientific and technical activities",Makkah al Mukarramah,MAK,Workforce,2018,0.0
N,Administrative and support service activities,Makkah al Mukarramah,MAK,Workforce,2018,0.0
O,Public administration and defense; compulsory social security,Makkah al Mukarramah,MAK,Workforce,2018,0.0
P,Education,Makkah al Mukarramah,MAK,Workforce,2018,0.0
Q,Human health and social work activities,Makkah al Mukarramah,MAK,Workforce,2018,0.0
R,"Arts, entertainment and recreation",Makkah al Mukarramah,MAK,Workforce,2018,0.0
S,Other service activities,Makkah al Mukarramah,MAK,Workforce,2018,0.0
T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Makkah al Mukarramah,MAK,Workforce,2018,0.0
U,Activities of extraterritorial organizations and bodies,Makkah al Mukarramah,MAK,Workforce,2018,0.0
V,Undefined,Makkah al Mukarramah,MAK,Workforce,2018,0.0
A,"Agriculture, forestry and fishing",Makkah al Mukarramah,MAK,Investments,2018,180.8472483775017
B,Mining and Quarrying,Makkah al Mukarramah,MAK,Investments,2018,4578.010954244245
C,Manufacturing,Makkah al Mukarramah,MAK,Investments,2018,38254.808812415475
D,"Electricity, gas, steam and air conditioning supplies",Makkah al Mukarramah,MAK,Investments,2018,3732.202277517266
E,"Water supply; sewerage, waste management and remediation activities",Makkah al Mukarramah,MAK,Investments,2018,2170.981546876292
F,Construction,Makkah al Mukarramah,MAK,Investments,2018,12228.795080171398
G,Wholesale and retail trade and repair of motor vehicles and motorcycles,Makkah al Mukarramah,MAK,Investments,2018,17273.032721133135
H,Transportation and Storage,Makkah al Mukarramah,MAK,Investments,2018,3018.067097574992
I,Accommodation and food services activities,Makkah al Mukarramah,MAK,Investments,2018,2968.2023246977274
J,Information and Communication,Makkah al Mukarramah,MAK,Investments,2018,3443.089798517985
K,Financial and Insurance Activities,Makkah al Mukarramah,MAK,Investments,2018,15064.262682436276
L,Real Estate Activities,Makkah al Mukarramah,MAK,Investments,2018,12721.53656494278
M,"Professional, Scientific and Technical Activities",Makkah al Mukarramah,MAK,Investments,2018,3721.536993789517
N,Administrative and Support Service Activities,Makkah al Mukarramah,MAK,Investments,2018,3904.513387514425
O,"Public administration, defense and compulsory social security",Makkah al Mukarramah,MAK,Investments,2018,3.899187058365048
