regioncode,year,sector,pct_gdp
ABA,2028,L,0.0
ABA,2028,M,0.0
ABA,2028,N,0.0
ABA,2028,O,0.0
ABA,2028,P,33.33
ABA,2028,Q,33.33
ABA,2028,R,28.78
ABA,2028,S,4.55
ABA,2028,T,0.0
ABA,2028,U,0.0
ABA,2028,V,0.0
ABA,2029,A,0.0
ABA,2029,B,0.0
ABA,2029,C,0.0
ABA,2029,D,0.0
ABA,2029,E,0.0
ABA,2029,F,0.0
ABA,2029,G,0.0
ABA,2029,H,0.0
ABA,2029,I,0.0
ABA,2029,J,0.0
ABA,2029,K,0.0
ABA,2029,L,0.0
ABA,2029,M,0.0
ABA,2029,N,0.0
ABA,2029,O,0.0
ABA,2029,P,33.33
ABA,2029,Q,33.33
ABA,2029,R,28.64
ABA,2029,S,4.69
ABA,2029,T,0.0
ABA,2029,U,0.0
ABA,2029,V,0.0
ABA,2030,A,0.0
ABA,2030,B,0.0
ABA,2030,C,0.0
ABA,2030,D,0.0
ABA,2030,E,0.0
ABA,2030,F,0.0
ABA,2030,G,0.0
ABA,2030,H,0.0
ABA,2030,I,0.0
ABA,2030,J,0.0
ABA,2030,K,0.0
ABA,2030,L,0.0
ABA,2030,M,0.0
ABA,2030,N,0.0
ABA,2030,O,0.0
ABA,2030,P,33.33
ABA,2030,Q,33.33
ABA,2030,R,28.49
ABA,2030,S,4.84
ABA,2030,T,0.0
ABA,2030,U,0.0
ABA,2030,V,0.0
AHU,2025,A,0.0
AHU,2025,B,0.0
AHU,2025,C,0.0
AHU,2025,D,0.0
AHU,2025,E,0.0
AHU,2025,F,0.0
AHU,2025,G,0.0
AHU,2025,H,0.0
AHU,2025,I,0.0
AHU,2025,J,0.0
AHU,2025,K,0.0
AHU,2025,L,0.0
AHU,2025,M,0.0
AHU,2025,N,0.0
AHU,2025,O,0.0
AHU,2025,P,33.33
AHU,2025,Q,33.32
AHU,2025,R,29.16
AHU,2025,S,4.17
AHU,2025,T,0.0
AHU,2025,U,0.0
AHU,2025,V,0.0
AHU,2026,A,0.0
AHU,2026,B,0.0
AHU,2026,C,0.0
AHU,2026,D,0.0
AHU,2026,E,0.0
AHU,2026,F,0.0
AHU,2026,G,0.0
AHU,2026,H,0.0
AHU,2026,I,0.0
